idx	spec	nr	dir	link
1	pue	1	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/005/ERR2750985/ERR2750985_1.fastq.gz
2	pue 	1	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/005/ERR2750985/ERR2750985_2.fastq.gz
3	pue	2	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/008/ERR2750988/ERR2750988_1.fastq.gz
4	pue 	2	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/008/ERR2750988/ERR2750988_2.fastq.gz
5	pue	3	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/001/ERR2750991/ERR2750991_1.fastq.gz
6	pue 	3	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/001/ERR2750991/ERR2750991_2.fastq.gz
7	pue	4	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/002/ERR2751002/ERR2751002_1.fastq.gz
8	pue 	4	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/002/ERR2751002/ERR2751002_2.fastq.gz
9	pue	5	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/004/ERR2751014/ERR2751014_1.fastq.gz
10	pue 	5	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/004/ERR2751014/ERR2751014_2.fastq.gz
11	nig	1	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/008/ERR2750998/ERR2750998_1.fastq.gz
12	nig 	1	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/008/ERR2750998/ERR2750998_2.fastq.gz
13	nig	2	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/008/ERR2750998/ERR2750999_1.fastq.gz
14	nig 	2	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/008/ERR2750998/ERR2750999_2.fastq.gz
15	nig	3	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/002/ERR2751012/ERR2751012_1.fastq.gz
16	nig 	3	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/002/ERR2751012/ERR2751012_2.fastq.gz
17	nig	4	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/005/ERR2751015/ERR2751015_1.fastq.gz
18	nig 	4	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/005/ERR2751015/ERR2751015_2.fastq.gz
19	nig	5	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/003/ERR2751023/ERR2751023_1.fastq.gz
20	nig 	5	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/003/ERR2751023/ERR2751023_2.fastq.gz
21	gum	1	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3798444/ERR3798444_1.fastq.gz
22	gum	1	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3798444/ERR3798444_2.fastq.gz
23	gum	2	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3798458/ERR3798458_1.fastq.gz
24	gum 	2	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3798458/ERR3798458_2.fastq.gz
25	gum	3	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3798460/ERR3798460_1.fastq.gz
26	gum 	3	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3798460/ERR3798460_2.fastq.gz
27	gum	4	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3798450/ERR3798450_1.fastq.gz
28	gum 	4	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3798450/ERR3798450_2.fastq.gz
29	gum	5	fw	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3798457/ERR3798457_1.fastq.gz
30	gum 	5	rv	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3798457/ERR3798457_2.fastq.gz
